name,dba,street,city,state,zip,gridX,gridY
1617 WAZEE STREET LLC ,LODO WELLNESS CENTER ,"1617 Wazee Street, Unit B ",Denver ,CO,80202,,
3-D DENVER'S DISCREET DISPENSARY LLC,3D DISPENSARY AND/OR 3D CANNABIS CENTER,4305 Brighton Boulevard,Denver,CO,80216,,
4 REAL CANNABIS SUPPLY LLC,4 REAL CANNABIS SUPPLY LLC,County Rd 17 Hwy 160,Ft Garland,CO,81133,,
4625 EAST COLFAX LLC,THE CLINIC ON COLFAX,4625 East Colfax Avenue,Denver,CO,80220,,
505 CENTER LLC,505 CENTER LLC,505 West 40th Avenue,Denver,CO,80216,,
5110 RACE LLC,THE SANCTUARY WELLNESS CENTER,5110 Race Street,Denver,CO,80216,,
"5280 WELLNESS, LLC",MMJ AMERICA GOLDEN TRIANGLE,1321 Elati Street,Denver,CO,80204,,
A CUT OFF THE TOP MEDICAL MARIJUANA LLC,,2059 West 9th Avenue,Denver,CO,80204,,
ABSOLUTE MANITOU WELLNESS CENTER LLC,,2 Manitou Avenue,Manitou Springs,CO,80829,,
ABSOLUTE MANITOU WELLNESS CENTER LLC,RESERVE 1 GLENDALE,"4182 East Virginia Street, Unit C",Glendale,CO,80246,,
ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY HEALING CENTER,"116 South Alder Street, Suite B",Crestone,CO,81131,,
ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY HEALING ALAMOSA,0711 West Hwy 160,Alamosa,CO,81101,,
ACME DISPENSARY INC,,"309 Bellview Avenue, Unit 1A",Crested Butte,CO,81224,,
ACME HEALING CENTER OF RIDGWAY LLC,,"157 US Highway 550, Suite B",Ridgway,CO,81432,,
ACME SMOKE LLC,MEDICAL TENT,1202 E. Fillmore Street,Colorado Springs,CO,80907,,
ADG HERBAL MEDICINE INC,FROSTED LEAF,"11 West Hampden Avenue, Unit 102",Englewood,CO,80110,,
ADVANCE CURE FOR VERA BESTURA LLC,,"2755 Ore Mill Road, Units 13 &14",Colorado Springs,CO,80904,,
ADVANCED MEDICAL ALTERNATIVES LLC,ADVANCED MEDICAL ALTERNATIVES LLC,1269 Elati Street,Denver,CO,80204,,
AJC INDUSTRIES LLC,FRONT RANGE ALTERNATIVE MEDICINES,5913 North Nevada Avenue,Colorado Springs,CO,80918,,
AJO HOLDINGS LLC,HIGH SOCIETY MEDICAL CANNABIS,920 West 104th Avenue,Northglenn,CO,80234,,
ALCC LLC,NEXT HARVEST WELLNESS,2748 West Alameda Avenue,Denver,CO,80219,,
ALIVE HERBAL MEDICINE,,4573 Pecos Street,Denver,CO,80211,,
ALLGREENS LLC,,762 Kalamath Street,Denver,CO,80204,,
ALPENGLOW BOTANICALS LLC,,"1805 Airport Road, Unit B1C,",Breckenridge,CO,80424,,
ALPINE HERBAL WELLNESS LLC,FROSTED LEAF,445 Federal Boulevard,Denver,CO,80206,,
ALPINE WELLNESS LLC,ALPINE WELLNESS,"300 West Colorado Avenue, 2C-G",Telluride,CO,81435,,
ALTERMEDS LLC,ALTERMEDS,"1156 West Dillon Road, Suite 3",Louisville,CO,80027,,
ALTERNATIVE HOLISTIC HEALING LLC,ALTERNATIVE HOLISTIC HEALING,5412 Hwy 119,Black Hawk,CO,80422,,
ALTERNATIVE MEDICAL REMEDIES,,1450 L Street,Penrose,CO,81240,,
ALTERNATIVE MEDICAL SUPPLIES LLC,,9 Karlann Drive,Black Hawk,CO,80422,,
ALTERNATIVE MEDICINE ON CAPITOL HILL,,1301 Marion Street,Denver,CO,80218,,
ALTERNATIVE MEDICINE ON THE MALL LLC,NATIVE ROOTS APOTHECARY,"910 16th Street, Suite 805",Denver,CO,80202,,
ALTITUDE WELLNESS CENTER LLC,ALTITUDE WELLNESS CENTER LLC,3435 South Yosemite,Denver,CO,80231,,
AMERICAN INDUSTRY LLC,DENVER DAM,4571 N. Ivy Street,Denver,CO,80216,,
AMERICAN WELLNESS CENTER LLC,,329 East Pikes Peak Avenue,Colorado Springs,CO,80907,,
AMERICAN WHOLESALE LLC,PALMER LAKE WELLNESS CENTER,"850 Commercial Lane, Suites 850A & B",Palmer Lake,CO,80133,,
ANCIENT ALTERNATIVES LLC,GREEN TREE MEDICINALS,12625 North 107th Street,Longmont,CO,80501,,
ANIMAS HERBAL WELLNESS CENTER INC,,"1111 Camino Del Rio, Unit 5",Durango,CO,81301,,
ANNIES TOBACCO EMPORIUM LLC,ANNIE'S DISPENSARY,135 Nevada Street,Central City,CO,80427,,
APOTHECARY OF COLORADO LLC,,"10625 East 51st Avenue, Suite 100",Denver,CO,80239,,
AREN & DAVES DREAM LLC,SARGENT GREEN LEAF,1402 Argentine Street,Georgetown,CO,80444,,
AT HOME REMEDIES INC,,4735 West 38th Avenue,Denver,CO,80212,,
BACK TO THE GARDEN HEALTH AND WELLNESS CENTER LLC,BACK TO THE GARDENS,1755 South Broadway,Denver,CO,80210,,
"BALLPARK HOLISTIC DISPENSARY, LLC",BALLPARK HOLISTIC DISPENSARY,"2119 Larimer Street, Suite 1",Denver,CO,80205,,
BEACON WELLNESS GROUP,BEACON WELLNESS GROUP,1740 East Main Street,Cortez,CO,81321,,
BEDDOR CLAUDE LLC,CHRONIC THERAPY,10030 West 27th Avenue,Wheat Ridge,CO,80215,,
BERKELEY MMC LLC,,4103 Sheridan Blvd.,Mountain View,CO,80212,,
BERLIN INTERNATIONAL LLC,CANNIKA,"210 Edwards Village Boulevard, Suite D109",Edwards,CO,81632,,
